FL_Test | INFO flwr 2024-05-25 15:19:20,951 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-05-25 15:19:20,959 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-05-25 15:19:20,959 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-05-25 15:19:20,959 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-05-25 15:23:37,715 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-05-25 15:23:37,715 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-05-25 15:23:37,715 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-05-25 15:27:32,091 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | INFO flwr 2024-05-25 15:29:50,898 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL_Test | INFO flwr 2024-05-25 15:29:50,898 | app.py:175 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL_Test | INFO flwr 2024-05-25 15:29:50,898 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2024-05-25 15:29:50,898 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2024-05-25 15:30:54,485 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2024-05-25 15:30:54,485 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2024-05-25 15:30:54,485 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2024-05-25 15:31:10,416 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-05-25 15:32:09,963 | server.py:236 | fit_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-05-25 15:32:09,963 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-05-25 15:32:11,672 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-05-25 15:32:11,672 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FL_Test | DEBUG flwr 2024-05-25 15:33:08,514 | server.py:236 | fit_round 2 received 3 results and 0 failures
FL_Test | DEBUG flwr 2024-05-25 15:33:08,524 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
